lemma,sense_name,definition,example,example_source,contains_word,Notes
carry,carry.v.27,capture after a fight,The troops carried the town after a brief fight,wordnet,FALSE,
dump,dump.v.04,drop (stuff) in a heap or mass,The truck dumped the garbage in the street,wordnet,TRUE,
blow,blow.v.10,sound by having air expelled through a tube,The trumpets blew,wordnet,FALSE,
comb,comb.n.02,the fleshy red crest on the head of the domestic fowl and other gallinaceous birds,The turkey's comb,hand_written,TRUE,
touch,touch.v.05,be in direct physical contact with; make contact,The two buildings touch,wordnet,TRUE,
box,box.n.07,any one of several designated areas on a ball field where the batter or catcher or coaches are positioned,The umpire warned the batter to stay in the batter's box,wordnet,TRUE,
show,usher.v.01,"take (someone) to their seats, as in theaters or auditoriums",The usher showed us to our seats,wordnet,TRUE,
picture,picture.n.09,a typical example of some state or quality,The very picture of a modern general,wordnet,TRUE,
cut,cut.v.29,fell by sawing; hew,The Vietnamese cut a lot of timber while they occupied Cambodia,wordnet,TRUE,
work,ferment.v.03,cause to undergo fermentation,The vintner worked the wine in big oak vats,wordnet,TRUE,
slide,swoop.n.01,(music) rapid sliding up or down the musical scale,The violinist was indulgent with his swoops and slides,wordnet,TRUE,
work,work.v.03,have an effect or outcome; often the one desired or expected,The voting process doesn't work as well as people thought,wordnet,TRUE,
give,collapse.v.01,"break down, literally or metaphorically",The wall gave in,wordnet,FALSE,
coffee,chocolate.n.03,a medium brown to dark-brown color,The wall was a dark coffee,hand_written,TRUE,
chocolate,chocolate.n.03,a medium brown to dark-brown color,The wall was a deep chocolate,hand_written,TRUE,
go,function.v.01,perform as expected when applied,The washing machine won't go unless it's plugged in,wordnet,TRUE,
closet,water_closet.n.01,a toilet in Britain,The water closet is down the hall,hand_written,TRUE,
rock,rock.n.07,pitching dangerously to one side,The waves gave the ship a rock,hand_written,TRUE,
blow,blow.v.15,spout moist air from the blowhole,The whales blew,wordnet,FALSE,
break,break.v.35,emerge from the surface of a body of water,The whales broke,wordnet,FALSE,
blow,blow.v.05,make a sound as if blown,The whistle blew,wordnet,FALSE,
white,white.s.10,(of hair) having lost its color,The white hairs of old age,wordnet,TRUE,
sit,sit.v.07,be located or situated somewhere,The White House sits on Pennsylvania Avenue,wordnet,TRUE,
room,room.n.04,the people who are present in a room,The whole room was cheering,wordnet,TRUE,
street,street.n.05,people living or working on the same street,The whole street protested the absence of street lights,wordnet,TRUE,
break,break.v.30,invalidate by judicial action,The will was broken,wordnet,FALSE,
blow,blow.v.14,cause to move by means of an air current,The wind blew them all over,childes,FALSE,
window,window.n.03,a transparent panel (as of an envelope) inserted in an otherwise opaque material,The window of the envelope was misalligned and I couldn't read the address,hand_written,TRUE,
close,close.v.02,become closed,The windows closed with a loud bang,wordnet,TRUE,
wind,wind.n.02,a tendency or force that influences events,The winds of change,wordnet,TRUE,
sock,windsock.n.01,"a truncated cloth cone mounted on a mast; used (e.g., at airports) to show the direction of the wind",The windsock whiped northward,hand_written,TRUE,
work,sour.v.01,go sour or spoil,The wine worked,wordnet,TRUE,
clap,clap.v.05,strike the air in flight,The wings of the birds clapped loudly,wordnet,TRUE,
cry,shout.v.02,utter a sudden loud cry,The woman's cry echoed through the field,hand_written,FALSE,
cow,cow.n.03,a large unpleasant woman,The women is such a cow,hand_written,TRUE,
pencil,pencil.n.02,graphite (or a similar substance) used in such a way as to be a medium of communication,The words were scribbled in pencil,wordnet,TRUE,
dance,dance.v.01,move in a graceful and rhythmical way,The young girl danced into the room,wordnet,TRUE,
zipper,slide_fastener.n.01,a fastener for locking together two toothed edges by means of a sliding tab,The zipper on my jacket broke,hand_written,TRUE,
bunny,bunny.n.02,(usually informal) especially a young rabbit,Then the little bunny started to eat a leaf,childes,TRUE,
can,can.n.03,a buoy with a round bottom and conical top,There are cans near the shore to signal navigation,hand_written,TRUE,
sun,sun.n.04,any star around which a planetary system revolves,There are many suns in the universe,hand_written,TRUE,
bathroom,toilet.n.01,a room or building equipped with one or more toilets,There are no public bathrooms here,hand_written,TRUE,
can,toilet.n.01,a room or building equipped with one or more toilets,There are no public cans here,hand_written,TRUE,
comb,comb.n.03,any of several tools for straightening fibers,There are special combs for animal grooming,hand_written,TRUE,
arm,branch.n.01,a division of some larger or more complex organization,There are three arms of the US government,hand_written,TRUE,
foot,infantry.n.01,an army unit consisting of soldiers who fight on foot,There came ten thousand horsemen and as many fully-armed foot,wordnet,TRUE,
block,block.n.05,housing in a large building that is divided into separate units,There is a block of classrooms in the west wing,wordnet,TRUE,
bug,bug.n.02,"a fault or defect in a computer program, system, or machine","There is a bug in my laptop, can you fix it?",hand_written,TRUE,
cloud,cloud.n.01,"any collection of particles (e.g., smoke or dust) or gases that is visible",There is a cloud of smoke in the sky,hand_written,TRUE,
coffee,coffee.n.02,any of several small trees and shrubs native to the tropical Old World yielding coffee beans,There is a field of coffee trees over there,hand_written,TRUE,
fork,branching.n.01,the act of branching out or dividing into branches,There is a fork in the company to Europe,hand_written,TRUE,
hair,hair.n.04,any of the cylindrical filaments characteristically growing from the epidermis of a mammal,There is a hair in my soup,wordnet,TRUE,
fork,crotch.n.02,the angle formed by the inner sides of the legs where they join the human trunk,There is a stain in the fork of this jeans,hand_written,TRUE,
blanket,blanket.n.02,anything that covers,There was a blanket of snow,wordnet,TRUE,
lips,lip.n.05,either the outer margin or the inner margin of the aperture of a gastropod's shell,There was a chip in the shell's lip,hand_written,TRUE,
duck,duck.n.04,a heavy cotton fabric of plain weave; used for clothing and tents,There was a hole in my duck cloth so I got rained on,hand_written,TRUE,
pig,hog.n.03,domestic swine,There was a pink pig who was learning to squeal,childes,TRUE,
plate,plate.n.03,a full-page illustration (usually on slick paper),There was a plate of photographs on the next page of his article,hand_written,TRUE,
roof,ceiling.n.03,an upper limit on what is allowed,There was a roof on salaries,wordnet,TRUE,
shorts,short_circuit.n.01,accidental contact between two points in an electric circuit that have a potential difference,There was a short and the lights went out,hand_written,FALSE,
turtle,turtle.n.02,any of various aquatic and land reptiles having a bony shell and flipper-like limbs for swimming,There was sure to be foxes in the woods or turtles in the water,childes,TRUE,
plate,plate.n.13,a shallow receptacle for collection in church,There were generous donations to the plate in church,hand_written,TRUE,
chips,check.n.09,a mark left after a small piece has been chopped or broken off of something,There's a chip in this mug,hand_written,FALSE,
hammer,hammer.n.02,a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking,There's a hammer and nails and there's lots of wood here,childes,TRUE,
motorcycle,motorcycle.n.01,a motor vehicle with two wheels and a strong frame,There's a man on a motorcycle,childes,TRUE,
strawberry,strawberry.n.03,a soft red birthmark,There's a strawberry on her back,hand_written,TRUE,
dirty,dirty.s.12,unpleasantly stormy,There's dirty weather in the offing,wordnet,TRUE,
bowl,bowl.n.01,a round vessel that is open at the top; used chiefly for holding food or liquids,There's more soup in the bowl,childes,TRUE,
build,build.v.07,be engaged in building,These architects build in interesting and new styles,wordnet,TRUE,
garden,garden.n.02,the flowers or vegetables or fruits or herbs that are cultivated in a garden,These are fresh from the garden,hand_written,TRUE,
find,receive.v.02,receive a specified treatment (abstract),These aspects of civilization do not find expression or receive an interpretation,wordnet,TRUE,
carry,carry.v.18,have as an inherent or characteristic feature or have as a consequence,These bonds carry warrants,wordnet,TRUE,
chips,chip.n.03,a piece of dried bovine dung,These chips are used in throwing contests,hand_written,TRUE,
run,tend.v.01,have a tendency or disposition to do or be something; be inclined,These dresses run small,wordnet,TRUE,
run,run.v.27,be diffused,These dyes and colors are guaranteed not to run,wordnet,TRUE,
new,modern.s.05,used of a living language; being the current stage in its development,These new phones always confuse me,hand_written,TRUE,
help,help.v.02,improve the condition of,These pills will help the patient,wordnet,TRUE,
cook,cook.v.03,transform and make suitable for consumption by heating,These potatoes have to cook for 20 minutes,wordnet,TRUE,
shake,stimulate.v.03,"stir the feelings, emotions, or peace of",These stories shook the community,wordnet,FALSE,
glasses,methamphetamine.n.01,an amphetamine derivative (trade name Methedrine) used in the form of a crystalline hydrochloride; used as a stimulant to the nervous system and as an appetite suppressant,These two batches are terrible quality glasses,hand_written,TRUE,
go,go.v.09,be abolished or discarded,These ugly billboards have to go!,wordnet,TRUE,
nuts,addict.n.01,someone who is so ardently devoted to something that it resembles an addiction,They are nuts about poker,hand_written,TRUE,
plant,plant.n.01,buildings for carrying on industrial labor,They built a large plant to manufacture automobiles,wordnet,TRUE,
picture,video.n.01,the visible part of a television transmission,They could still receive the sound but the picture was gone,wordnet,TRUE,
sled,sled.n.01,a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow,They don't even need a sled they just go on their belly,childes,TRUE,
drop,dismiss.v.03,stop associating with,They dropped her after she had a child out of wedlock,wordnet,TRUE,
hair,hair's-breadth.n.01,a very small distance or space,They escaped by a hair's-breadth,wordnet,TRUE,
bed,bed.n.04,(geology) a stratum of rock (especially sedimentary rock),They found a bed of sandstone,wordnet,TRUE,
book,ledger.n.01,a record in which commercial accounts are recorded,They got a subpoena to examine our books,wordnet,TRUE,
ball,musket_ball.n.01,a solid projectile that is shot by a musket,They had to carry a ramrod as well as powder and ball,wordnet,TRUE,
hold,hold.v.13,"remain in a certain state, position, or condition",They held on the road and kept marching,wordnet,FALSE,
shower,shower.n.01,a plumbing fixture that sprays water over you,They installed a shower in the bathroom,wordnet,TRUE,
water,body_of_water.n.01,the part of the earth's surface covered with water (such as a river or lake or ocean),They invaded our territorial waters,wordnet,TRUE,
train,caravan.n.01,a procession (of wagons or mules or camels) traveling together in single file,They joined the wagon train for safety,wordnet,TRUE,
sandbox,sandbox.n.01,mold consisting of a box with sand shaped to mold metal,They made pig iron in the sandbox,hand_written,TRUE,
new,new.s.05,other than the former one(s); different,They now have a new leaders,wordnet,TRUE,
yard,yard.n.03,a tract of land enclosed for particular activities (sometimes paved and usually associated with buildings),They opened a repair yard on the edge of town,wordnet,TRUE,
button,button.n.04,a round flat badge displaying information and suitable for pinning onto a garment,They passed out campaign buttons for their candidate,wordnet,TRUE,
light,light.n.09,having abundant light or illumination,They played as long as it was light,wordnet,TRUE,
play,play.v.16,engage in an activity as if it were a game rather than take it seriously,They played games on their opponents,wordnet,TRUE,
play,play.v.33,employ in a game or in a specific position,They played him on first base,wordnet,TRUE,
game,game.n.03,an amusement or pastime,They played word games,wordnet,TRUE,
jelly,jelly.n.03,any substance having the consistency of jelly or gelatin,They put some jelly on my tummy and then we could see baby on the television,childes,TRUE,
block,auction_block.n.01,a platform from which an auctioneer sells,They put their paintings on the block,wordnet,TRUE,
run,play.v.18,cause to emit recorded audio or video,They ran the tapes over and over again,wordnet,FALSE,
book,book.n.07,a collection of rules or prescribed standards on the basis of which decisions are made,They run things by the book around here,wordnet,TRUE,
light,light.n.14,a visual warning signal,They saw the light of the beacon,wordnet,TRUE,
head,oral_sex.n.01,oral stimulation of the genitals,They say he gives good head,wordnet,TRUE,
goose,goose.n.03,flesh of a goose (domestic or wild),They serve goose in this restaurant,hand_written,TRUE,
dish,dish.n.03,the quantity that a dish will hold,They served me a dish of rice,wordnet,TRUE,
picture,picture.n.01,a visual representation (of an object or scene or person or abstraction) produced on a surface,They showed us the pictures of their wedding,wordnet,TRUE,
sweep,sweep.v.08,cover the entire range of,They swept the campus for drugs,hand_written,TRUE,
car,cable_car.n.01,a conveyance for passengers or freight on a cable railway,They took a cable car to the top of the mountain,wordnet,TRUE,
fork,fork.n.03,the region of the angle formed by the junction of two branches,They took the south fork,wordnet,TRUE,
head,fountainhead.n.02,the source of water from which a stream arises,They tracked him back toward the head of the stream,wordnet,TRUE,
street,street.n.01,a thoroughfare (usually including sidewalks) that is lined with buildings,They walked the streets of the small town,wordnet,TRUE,
careful,careful.a.01,exercising caution or showing care or attention,They were careful when crossing the busy street,wordnet,TRUE,
keys,key.n.05,a kilogram of a narcotic drug,They were carrying two keys of heroin,wordnet,TRUE,
eye,center.n.01,an area that is approximately central within some larger region,They were in the eye of the storm,wordnet,TRUE,
sweep,embroil.v.01,"force into some kind of situation, condition, or course of action",They were swept up by the events,wordnet,FALSE,
go,go.v.10,be or continue to be in a certain condition,They will go hungry,hand_written,TRUE,
get,get.v.11,"succeed in catching or seizing, especially after a chase",They're trying to get the fox,childes,TRUE,
break,break.v.53,happen,Things have been breaking pretty well for us in the past few months,wordnet,TRUE,
break,break.v.28,happen or take place,Things have been breaking pretty well for us in the past few months,wordnet,TRUE,
think,think.v.11,have or formulate in the mind,Think good thoughts,wordnet,TRUE,
think,think.v.09,"ponder; reflect on, or reason about",Think the matter through,wordnet,FALSE,
think,think.v.06,focus one's attention on a certain state,Think thin,wordnet,TRUE,
thirsty,thirsty.s.01,needing moisture,Thirsty fields under a rainless sky,wordnet,TRUE,
thirsty,athirst.s.01,(usually followed by `for') extremely desirous,Thirsty for informaton,wordnet,TRUE,
thirsty,thirsty.s.04,able to take in large quantities of moisture,Thirsty towels,wordnet,TRUE,
carry,carry.v.22,be equipped with (a mast or sail),This boat can only carry a small sail,wordnet,TRUE,
draw,draw.v.22,require a specified depth for floating,This boat draws 70 inches,wordnet,TRUE,
take,contain.v.05,be capable of holding or containing,This box won't take all the items,wordnet,TRUE,
cut,cut.v.25,allow incision or separation,This bread cuts easily,wordnet,TRUE,
bring,bring.v.01,take something or somebody with oneself somewhere,This brings me to the main point,wordnet,TRUE,
eat,consume.v.05,use up (resources or materials),This car eats a lot of gas,hand_written,TRUE,
ride,drive.v.12,have certain properties when driven,This car rides smoothly,wordnet,TRUE,
draw,draw.v.21,allow a draft,This chimney draws very well,wordnet,TRUE,
soft,soft.a.01,yielding readily to pressure or weight,This couch is very soft,hand_written,TRUE,
carry,carry.v.10,be necessarily associated with or result in or involve,This crime carries a penalty of five years in prison,wordnet,FALSE,
cut,cut.v.35,have a reducing effect,This cuts into my earnings,wordnet,TRUE,
read,read.v.04,obtain data from magnetic tapes,This dictionary can be read by the computer,wordnet,TRUE,
feed,feed.v.07,serve as food for; be the food for,This dish feeds six,wordnet,TRUE,
eat,feed.v.06,take in food; used of animals only,This dog doesn't eat certain kinds of meat,wordnet,TRUE,
go,go.v.25,"lead, extend, or afford access",This door goes to the basement,wordnet,TRUE,
work,work.v.14,behave in a certain way when handled,This dough does not work easily,wordnet,TRUE,
face,face.n.13,a vertical surface of a building or cliff,This face of the building is unfinished,hand_written,TRUE,
play,play.v.02,act or have an effect in a specified way or with a specific effect or outcome,This factor played only a minor part in his decision,wordnet,TRUE,
fit,suit.v.01,be agreeable or acceptable to,This fits my needs,hand_written,TRUE,
tooth,tooth.n.05,one of a number of uniform projections on a gear,This gear has a missing tooth,hand_written,TRUE,
hold,restrain.v.03,"to close within bounds, limit or hold back from movement",This holds the local until the express passengers change trains,wordnet,TRUE,
garbage,drivel.n.01,a worthless message,This information is garbage,hand_written,TRUE,
game,game.n.05,(tennis) a division of play during which one player serves,This is a game point,hand_written,TRUE,
good,good.a.03,morally admirable,This is a good city with respectable people,hand_written,TRUE,
old,old.s.07,of a very early stage in development,This is a very old prototype,hand_written,TRUE,
flag,masthead.n.01,"a listing printed in all issues of a newspaper or magazine (usually on the editorial page) that gives the name of the publication and the names of the editorial staff, etc.",This is our flag ship newspaper,hand_written,TRUE,
bat,squash_racket.n.01,a small racket with a long handle used for playing squash,This is the bat that won most of my squash matches,hand_written,TRUE,
glass,methamphetamine.n.01,an amphetamine derivative (trade name Methedrine) used in the form of a crystalline hydrochloride; used as a stimulant to the nervous system and as an appetite suppressant,This is the best quality glass I've ever seen,hand_written,TRUE,
yogurt,yogurt.n.01,a custard-like food made from curdled milk,This is the low fat yogurt we need to get the full fat yogurt for you,childes,TRUE,
buy,bribe.v.01,make illegal payments to in exchange for favors or influence,This judge can be bought,wordnet,FALSE,
salt,salt.n.04,the taste experience when common salt is taken into the mouth,This just tastes like salt,hand_written,TRUE,
cut,cut.v.24,function as a cutting instrument,This knife cuts well,wordnet,TRUE,
carry,carry.v.31,bear (a crop),This land does not carry olives,wordnet,TRUE,
carry,carry.v.34,be able to feed,This land will carry ten cows to the acre,wordnet,TRUE,
make,form.v.02,to compose or represent:,This makes a fine introduction,wordnet,TRUE,
give,give.v.33,be flexible under stress of physical force,This material doesn't give,wordnet,TRUE,
help,help.v.06,contribute to the furtherance of,This money will help the development of literacy in developing countries,wordnet,TRUE,
work,function.v.01,perform as expected when applied,This old radio doesn't work anymore,wordnet,TRUE,
open,open.v.06,make available,This opens up new possibilities,wordnet,TRUE,
cover,cover.v.19,spread over a surface to conceal or protect,This paint covers well,wordnet,TRUE,
carry,carry.v.15,include as the content; broadcast or publicize,This paper carries a restaurant review,wordnet,FALSE,
go,fit.v.02,be the right size or shape; fit correctly or as desired,This peice doesnt go in the puzzle,hand_written,FALSE,
fit,fit.v.02,be the right size or shape; fit correctly or as desired,This piece won't fit into the puzzle,wordnet,TRUE,
work,work.v.17,cause to operate or function,This pilot works the controls,wordnet,TRUE,
break,break.v.29,cause the failure or ruin of,This play will either make or break the playwright,wordnet,TRUE,
stuck,stuck.s.02,baffled,This problem has me completely stuck,wordnet,TRUE,
see,watch.v.03,see or watch,This program will be seen all over the world,wordnet,TRUE,
look,look.v.02,give a certain impression or have a certain outward aspect,This project looks fishy,wordnet,TRUE,
throw,confuse.v.02,be confusing or perplexing to; cause to be unable to think clearly,This question completely threw me,wordnet,TRUE,
get,perplex.v.01,be a mystery or bewildering to,This question really got me,hand_written,FALSE,
carry,carry.v.35,have a certain range,"This rifle carries for 3,000 feet",wordnet,FALSE,
make,make.v.33,amount to,This salary increase makes no difference to my standard of living,wordnet,TRUE,
show,picture.v.02,"show in, or as in, a picture",This scene shows country life,hand_written,TRUE,
soft,piano.a.01,used chiefly as a direction or description in music,"This segment is piano, so it should be soft",hand_written,FALSE,
present,present.n.03,a verb tense that expresses actions or states at the time of speaking,"This sentence should be in past tense, not the present",hand_written,TRUE,
cover,embrace.v.01,include in scope; include as part of something broader; have as one's sphere or territory,This should cover everyone in the group,wordnet,TRUE,
wash,wash.v.06,admit to testing or proof,This silly excuse won't wash in traffic court,wordnet,TRUE,
cry,cry.v.05,demand immediate action,This situation is crying for attention,wordnet,TRUE,
swim,swim.v.05,move as if gliding through water,This snake swims through the soil where it lives,wordnet,TRUE,
go,blend.v.02,blend or harmonize,This sofa won't go with the chairs,wordnet,TRUE,
play,play.v.22,be received or accepted or interpreted in a specific way,This speech didn't play well with the American public,wordnet,TRUE,
give,give.v.36,manifest or show,This student gives promise of real creativity,wordnet,TRUE,
buy,buy.v.03,be worth or be capable of buying,This sum will buy you a ride on the train,wordnet,TRUE,
take,accept.v.08,be designed to hold or take,This surface will not take the dye,wordnet,TRUE,
taste,smack.v.03,have a distinctive or characteristic taste,This tastes of nutmeg,wordnet,TRUE,
sleep,sleep.v.02,be able to accommodate for sleeping,This tent sleeps six people,wordnet,TRUE,
hold,apply.v.02,be pertinent or relevant or applicable,This theory holds for all irrational numbers,wordnet,TRUE,
hold,prevail.v.02,"be valid, applicable, or true",This theory still holds,wordnet,TRUE,
work,solve.v.01,find the solution to (a problem or question) or understand the meaning of,This unpleasant situation isn't going to work itself out,wordnet,TRUE,
go,go.v.19,be ranked or compare,This violinist is as good as Juilliard-trained violinists go,wordnet,TRUE,
help,help.v.03,be of use,This will help to prevent accidents,wordnet,TRUE,
make,make.v.30,undergo fabrication or creation,This wool makes into a nice sweater,wordnet,TRUE,
climb,climb.v.05,improve one's social status,This young man knows how to climb the social ladder,wordnet,TRUE,
zebra,zebra.n.01,any of several fleet black-and-white striped African equines,This zebra has black and white stripes,childes,TRUE,
bucket,bucket.n.01,a roughly cylindrical vessel that is open at the top,"Those are pails or buckets, you can call them either a pail or a bucket",childes,TRUE,
garden,garden.n.01,a plot of ground where plants are cultivated,Those are stairs that go in to the rose garden,childes,TRUE,
wolf,wolf.n.01,any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs,"Those are very fast animals, a wolf",childes,TRUE,
bug,hemipterous_insect.n.01,insects with sucking mouthparts and forewings thickened and leathery at the base; usually show incomplete metamorphosis,Those bugs are so scary,hand_written,TRUE,
draw,guide.v.05,"pass over, across, or through",Those ducks better watch out so the bicycles don't run them over,childes,FALSE,
run,guide.v.05,"pass over, across, or through",Those ducks better watch out so the bicycles don't run them over,childes,TRUE,
careful,careful.s.04,full of cares or anxiety,Thou art careful and troubled about many things,wordnet,TRUE,
car,car.n.02,a wheeled vehicle adapted to the rails of railroad,Three cars had jumped the rails,wordnet,TRUE,
throw,throw.v.01,propel through the air,Throw a frisbee,wordnet,TRUE,
throw,give.v.07,"convey or communicate; of a smile, a look, a physical gesture",Throw a glance,wordnet,FALSE,
throw,throw.v.14,throw (a die) out onto a flat surface,Throw a six,wordnet,FALSE,
throw,hurl.v.03,utter with force; utter vehemently,Throw accusations at someone,wordnet,TRUE,
throw,throw.v.08,"to put into a state or activity hastily, suddenly, or carelessly",Throw the car into reverse,wordnet,TRUE,
garbage,garbage.n.01,food that is discarded (as from a kitchen),Throw the garbage away from dinner,hand_written,TRUE,
throw,throw.v.06,cause to go on or to be engaged or set in operation,Throw the lever,wordnet,TRUE,
head,head.n.14,an individual person,Tickets are $5 per head,wordnet,TRUE,
tiny,bantam.s.01,very small,Tiny feet,wordnet,TRUE,
tiger,tiger.n.02,large feline of forests in most of Asia having a tawny coat with black stripes; endangered,Tiny tiger and her brothers follow mother tiger through the tall jungle grass,childes,TRUE,
tired,banal.s.01,repeated too often; overfamiliar through overuse,Tired metaphor,hand_written,TRUE,
tired,tired.a.01,depleted of strength or energy,Tired mothers with crying babies,wordnet,TRUE,
chicken,chicken.n.04,a foolhardy competition; a dangerous activity that is continued until one competitor becomes afraid and stops,To play chicken,hand_written,TRUE,
touch,refer.v.02,be relevant to,To touch on your previous idea,hand_written,FALSE,
tongue,tongue.n.03,any long thin projection that is transient,Tongues of flame licked at the walls,wordnet,TRUE,
big,big.s.08,feeling self-importance,Too big for his britches,wordnet,TRUE,
nice,dainty.s.04,excessively fastidious and easily disgusted,Too nice about his food to take to camp cooking,wordnet,TRUE,
picture,word_picture.n.01,a graphic or vivid verbal description,Too often the narrative was interrupted by long word pictures,wordnet,TRUE,
scared,frightened.s.01,made afraid,Too shocked and scared to move,wordnet,TRUE,
soft,indulgent.s.02,tolerant or lenient,Too soft on the children,wordnet,TRUE,
hard,hard.a.02,dispassionate,Took a hard look,wordnet,TRUE,
long,farseeing.s.02,planning prudently for the future,Took a long view of the geopolitical issues,wordnet,TRUE,
boat,boat.n.01,a small vessel for travel on water,Toy boat for the bath,hand_written,TRUE,
train,string.n.04,a sequentially ordered set of things or events or ideas in which each successive member is related to the preceding,Train of mourners,wordnet,TRUE,
wind,wind.n.01,air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure,Trees bent under the fierce winds,wordnet,TRUE,
heavy,heavy.s.22,full of; bearing great weight,Trees heavy with fruit,wordnet,TRUE,
leg,leg.n.03,one of the supports for a piece of furniture,Tripod means it's something with three legs,childes,TRUE,
broken,broken.s.08,thrown into a state of disarray or confusion,Troops fleeing in broken ranks,wordnet,TRUE,
slide,slide.n.04,plaything consisting of a sloping chute down which children can slide,Try out the jumprope and slide down the slide,childes,TRUE,
tuna,tuna.n.03,any very large marine food and game fish of the genus Thunnus; related to mackerel; chiefly of warm waters,Tuna fishing is a large industry,hand_written,FALSE,
turkey,turkey.n.01,large gallinaceous bird with fan-shaped tail; widely domesticated for food,Turkeys live in a group called flocks,childes,FALSE,
lamp,lamp.n.02,a piece of furniture holding one or more electric light bulbs,"Turn on the lamp, it's so dark in here",hand_written,TRUE,
red,crimson.s.03,(especially of the face) reddened or suffused with or as if with blood from emotion or exertion,Turned red from exertion,wordnet,TRUE,
cat,cat.n.01,feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats,Two kitty cats,hand_written,TRUE,
raisin,raisin.n.01,dried grape,Two of your favorite things: raisins and butter,childes,TRUE,
nose,nozzle.n.01,a projecting spout from which a fluid is discharged,"Uncap the nose, so I can squirt the ketchup",hand_written,TRUE,
white,white.s.05,restricted to whites only,Under segregation there were even white restrooms and white drinking fountains,wordnet,TRUE,
head,question.n.02,the subject matter at issue,Under the head of minor Roman poets,wordnet,TRUE,
truck,hand_truck.n.01,a handcart that has a frame with two low wheels and a ledge at the bottom and handles at the top; used to move crates or other heavy objects,Use the truck to move the heavy boxes,hand_written,TRUE,
carrots,carrot.n.04,promise of reward as in,Used the carrot of subsidized housing for the workers to get their vote,hand_written,FALSE,
brush,brush.n.04,conducts current between rotating and stationary parts of a generator or motor,Usually electric motors have a brush,hand_written,TRUE,
break,break.v.03,render inoperable or ineffective,Violet that will break the markers and you won't be able to use them,childes,TRUE,
white,white.a.02,of or belonging to a racial group having light skin coloration,Voting patterns within the white population,wordnet,TRUE,
walk,walk.v.06,live or behave in a specified manner,Walk in sadness,wordnet,TRUE,
big,big.s.12,given or giving freely,Was a big tipper,wordnet,TRUE,
cold,cold.s.08,sexually unresponsive,Was cold to his advances,wordnet,TRUE,
first,first.s.05,ranking above all others,Was first in her class,wordnet,TRUE,
hot,hot.s.05,sexually excited or exciting,Was hot for her,wordnet,TRUE,
jeans,jean.n.01,(usually plural) close-fitting trousers of heavy denim for manual work or casual wear,Wash my jeans and my fleece,childes,TRUE,
wash,wash.v.03,"cleanse with a cleaning agent, such as soap, and water","Wash the towels, please!",wordnet,TRUE,
wash,wash.v.01,clean with some chemical process,Wash with detergent,hand_written,FALSE,
soap,soap.n.01,a cleansing agent made from the salts of vegetable or animal fats,Wash with soap and water,hand_written,TRUE,
sink,sink.n.01,plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe,"Wash your hands in the sink, please",hand_written,TRUE,
cry,exclaim.v.01,"utter aloud; often with surprise, horror, or joy",Watch out!' cried the lady as he made a grab for the groceries,childes,FALSE,
pour,pour.v.04,flow in a spurt,Water poured all over the floor,wordnet,TRUE,
splash,splash.v.05,make a splashing sound,Water was splashing on the floor,wordnet,TRUE,
cut,cut.v.26,divide a deck of cards at random into two parts to make selection difficult,Wayne cut,wordnet,TRUE,
good,good.s.06,agreeable or pleasing,We all had a good time,wordnet,TRUE,
stay,stay.v.02,stay put (in a certain place),We are staying in Detroit; we are not moving to Cincinnati,wordnet,TRUE,
make,reach.v.01,"reach a destination, either real or abstract",We barely made it to the finish line,wordnet,FALSE,
make,make.v.37,reach in time,We barely made the plane,wordnet,FALSE,
tummy,pot.n.07,slang for a paunch,We can see his tummy,childes,TRUE,
sneaker,fink.n.01,someone acting as an informer or decoy for the police,"We can't trust him, I think hes a sneaker",hand_written,TRUE,
catch,catch.v.14,"hear, usually without the knowledge of the speakers",We caught the conversation at the next table,hand_written,FALSE,
close,close.v.06,"complete a business deal, negotiation, or an agreement",We closed on the house on Friday,wordnet,TRUE,
door,door.n.03,anything providing a means of access (or escape),We closed the door to Haitian immigrants,wordnet,TRUE,
cut,cut.v.15,pass directly and often in haste,We cut through the neighbor's yard to get home sooner,wordnet,TRUE,
eat,eat.v.02,eat a meal; take a meal,We did not eat until 10 P. M. Because there were so many phone calls,wordnet,TRUE,
sit,model.v.03,assume a posture as for artistic purposes,We don't know the woman who sat for leonardo so often,hand_written,FALSE,
drive,drive.v.16,proceed along in a vehicle,We drive the turnpike to work,wordnet,TRUE,
drive,drive.v.03,cause someone or something to move by driving,We drove the car to the garage,wordnet,TRUE,
drive,drive.v.02,travel or be transported in a vehicle,We drove to the university every morning,wordnet,TRUE,
find,find.v.01,"come upon, as if by accident; meet with",We find this idea in Plato,wordnet,TRUE,
find,find.v.10,obtain through effort or management,We found the money to send our sons to college,wordnet,FALSE,
dish,dish.n.01,a piece of dishware normally used as a container for holding or serving food,We gave them a set of dishes for a wedding present,wordnet,TRUE,
peas,pea.n.03,a leguminous plant of the genus Pisum with small white flowers and long green pods containing edible green seeds,We grow peas in our garden,hand_written,TRUE,
